root@vmi2735602:/opt/trading-bot-v91# docker-compose logs trading-bot
trading-bot-v91  | INFO:binance_handler:Successfully connected to Binance Futures (testnet=True)
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | INFO:database:Cleaned up 0 alerts and 0 performance records
trading-bot-v91  | INFO:__main__:🧹 Cleanup completed. Removed 0 expired position guards
trading-bot-v91  | INFO:httpx:HTTP Request: POST https://discord.com/api/webhooks/1405478101642903593/PV6Hp9LHUOQ0m0mwkp74olG5-D_IPlWC_Kq52gO-NJZUWqHdKBZEwbAj7B_nPVPXqlK0?wait=true "HTTP/1.1 200 OK"
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | INFO:     172.21.0.5:36364 - "POST /webhook/tradingview HTTP/1.1" 200 OK
trading-bot-v91  | WARNING:webhook:⚠️ High latency detected: 1067ms for ETHUSDT.P
trading-bot-v91  | INFO:__main__:🔍 Created diagnostic trace: 0809fcf8-672a-4ee7-865d-71cd781ef39e
trading-bot-v91  | WARNING:__main__:⚠️ M5 Latency warning: 1110ms for ETHUSDT.P
trading-bot-v91  | INFO:__main__:📡 Received signal for ETHUSDT.P - sell [Trace: 0809fcf8-672a-4ee7-865d-71cd781ef39e]
trading-bot-v91  | INFO:mode_manager:📉 Weak institutional flow (0.00) - reduced position size
trading-bot-v91  | INFO:mode_manager:📊 Trade parameters for emergency mode: {'leverage': 1, 'position_size_multiplier': 0.2, 'stop_loss_multiplier': 0.5, 'emergency_mode': True, 'risk_percent': 0.25}
trading-bot-v91  | ERROR:__main__:💥 Error handling signal: 'DecisionEngine' object has no attribute 'optimize_parameters'
trading-bot-v91  | Traceback (most recent call last):
trading-bot-v91  |   File "/app/main.py", line 809, in handle_signal
trading-bot-v91  |     optimized_params = await self.decision_engine.optimize_parameters(
trading-bot-v91  |                              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
trading-bot-v91  | AttributeError: 'DecisionEngine' object has no attribute 'optimize_parameters'
trading-bot-v91  | INFO:__main__:✅ Completed diagnostic trace: 0809fcf8-672a-4ee7-865d-71cd781ef39e
trading-bot-v91  | ERROR:webhook:Failed to process alert: DiscordNotifier.send_error_notification() missing 1 required positional argument: 'error_message'
trading-bot-v91  | Traceback (most recent call last):
trading-bot-v91  |   File "/app/main.py", line 809, in handle_signal
trading-bot-v91  |     optimized_params = await self.decision_engine.optimize_parameters(
trading-bot-v91  |                              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
trading-bot-v91  | AttributeError: 'DecisionEngine' object has no attribute 'optimize_parameters'
trading-bot-v91  |
trading-bot-v91  | During handling of the above exception, another exception occurred:
trading-bot-v91  |
trading-bot-v91  | Traceback (most recent call last):
trading-bot-v91  |   File "/app/webhook.py", line 512, in process_alert_async
trading-bot-v91  |     decision = await bot.handle_signal(alert_dict)
trading-bot-v91  |                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
trading-bot-v91  |   File "/app/main.py", line 880, in handle_signal
trading-bot-v91  |     await self.discord.send_error_notification(f"Signal handling error: {e}")
trading-bot-v91  |           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
trading-bot-v91  | TypeError: DiscordNotifier.send_error_notification() missing 1 required positional argument: 'error_message'
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | INFO:database:Cleaned up 0 alerts and 0 performance records
trading-bot-v91  | INFO:__main__:🧹 Cleanup completed. Removed 0 expired position guards
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | INFO:httpx:HTTP Request: POST https://discord.com/api/webhooks/1405478101642903593/PV6Hp9LHUOQ0m0mwkp74olG5-D_IPlWC_Kq52gO-NJZUWqHdKBZEwbAj7B_nPVPXqlK0?wait=true "HTTP/1.1 200 OK"
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | INFO:discord.gateway:Shard ID None has successfully RESUMED session 9ceb0706e3a545f90fc2a2c98fba3cd5.
trading-bot-v91  | INFO:database:Cleaned up 0 alerts and 0 performance records
trading-bot-v91  | INFO:__main__:🧹 Cleanup completed. Removed 0 expired position guards
trading-bot-v91  | INFO:httpx:HTTP Request: POST https://discord.com/api/webhooks/1405478101642903593/PV6Hp9LHUOQ0m0mwkp74olG5-D_IPlWC_Kq52gO-NJZUWqHdKBZEwbAj7B_nPVPXqlK0?wait=true "HTTP/1.1 200 OK"
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | INFO:     172.21.0.5:36422 - "POST /webhook/tradingview HTTP/1.1" 200 OK
trading-bot-v91  | WARNING:webhook:⚠️ High latency detected: 1346ms for BTCUSDT.P
trading-bot-v91  | INFO:__main__:🔍 Created diagnostic trace: 0a421db4-df9e-4fda-b1ed-1ded8c59c702
trading-bot-v91  | WARNING:__main__:⚠️ M5 Latency warning: 1366ms for BTCUSDT.P
trading-bot-v91  | INFO:__main__:📡 Received signal for BTCUSDT.P - sell [Trace: 0a421db4-df9e-4fda-b1ed-1ded8c59c702]
trading-bot-v91  | INFO:mode_manager:📉 Weak institutional flow (0.00) - reduced position size
trading-bot-v91  | INFO:mode_manager:📊 Trade parameters for emergency mode: {'leverage': 1, 'position_size_multiplier': 0.2, 'stop_loss_multiplier': 0.5, 'emergency_mode': True, 'risk_percent': 0.25}
trading-bot-v91  | ERROR:__main__:💥 Error handling signal: 'DecisionEngine' object has no attribute 'optimize_parameters'
trading-bot-v91  | Traceback (most recent call last):
trading-bot-v91  |   File "/app/main.py", line 809, in handle_signal
trading-bot-v91  |     optimized_params = await self.decision_engine.optimize_parameters(
trading-bot-v91  |                              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
trading-bot-v91  | AttributeError: 'DecisionEngine' object has no attribute 'optimize_parameters'
trading-bot-v91  | INFO:__main__:✅ Completed diagnostic trace: 0a421db4-df9e-4fda-b1ed-1ded8c59c702
trading-bot-v91  | ERROR:webhook:Failed to process alert: DiscordNotifier.send_error_notification() missing 1 required positional argument: 'error_message'
trading-bot-v91  | Traceback (most recent call last):
trading-bot-v91  |   File "/app/main.py", line 809, in handle_signal
trading-bot-v91  |     optimized_params = await self.decision_engine.optimize_parameters(
trading-bot-v91  |                              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
trading-bot-v91  | AttributeError: 'DecisionEngine' object has no attribute 'optimize_parameters'
trading-bot-v91  |
trading-bot-v91  | During handling of the above exception, another exception occurred:
trading-bot-v91  |
trading-bot-v91  | Traceback (most recent call last):
trading-bot-v91  |   File "/app/webhook.py", line 512, in process_alert_async
trading-bot-v91  |     decision = await bot.handle_signal(alert_dict)
trading-bot-v91  |                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
trading-bot-v91  |   File "/app/main.py", line 880, in handle_signal
trading-bot-v91  |     await self.discord.send_error_notification(f"Signal handling error: {e}")
trading-bot-v91  |           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
trading-bot-v91  | TypeError: DiscordNotifier.send_error_notification() missing 1 required positional argument: 'error_message'
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | INFO:     172.21.0.5:36428 - "POST /webhook/tradingview HTTP/1.1" 200 OK
trading-bot-v91  | ERROR:database:Failed to log execution trace: (psycopg2.errors.StringDataRightTruncation) value too long for type character varying(10)
trading-bot-v91  |
trading-bot-v91  | [SQL: INSERT INTO execution_traces (trace_id, symbol, action, stage, timestamp, processing_time_ms, status, message, context_data, trade_id, decision_trace_id, created_at) VALUES (%(trace_id)s, %(symbol)s, %(action)s, %(stage)s, %(timestamp)s, %(processing_time_ms)s, %(status)s, %(message)s, %(context_data)s, %(trade_id)s, %(decision_trace_id)s, %(created_at)s) RETURNING execution_traces.id]
trading-bot-v91  | [parameters: {'trace_id': '8d8e51e9-77c5-49b8-8c7d-2afe9ef225ca', 'symbol': 'ETHUSDT.P', 'action': 'emergency_sell', 'stage': 'started', 'timestamp': datetime.datetime(2025, 8, 31, 22, 45, 2, 505997), 'processing_time_ms': 0, 'status': 'running', 'message': 'Started alert_processing', 'context_data': '{"symbol": "ETHUSDT.P", "action": "emergency_sell", "tier": "Emergency", "idempotency_key": "0f53babb8542f6d2820c9def4017b418"}', 'trade_id': None, 'decision_trace_id': None, 'created_at': datetime.datetime(2025, 8, 31, 22, 45, 2, 506027)}]
trading-bot-v91  | (Background on this error at: https://sqlalche.me/e/14/9h9h)
trading-bot-v91  | ERROR:__main__:Error creating diagnostic trace: (psycopg2.errors.StringDataRightTruncation) value too long for type character varying(10)
trading-bot-v91  |
trading-bot-v91  | [SQL: INSERT INTO decision_traces (trace_id, symbol, action, tier, alert_timestamp, processing_stage, final_decision, rejection_reason, position_size_pct, position_size_usdt, leverage_used, leverage_suggested, stop_loss_pct, take_profit_1_pct, take_profit_2_pct, take_profit_3_pct, ml_confidence, risk_score, market_regime, regime_confidence, pine_health_score, atr_percentile, adx_strength, volume_profile_score, processing_time_ms, api_latency_ms, decision_latency_ms, trade_id, alert_history_id, raw_alert_data, decision_context, created_at, completed_at) VALUES (%(trace_id)s, %(symbol)s, %(action)s, %(tier)s, %(alert_timestamp)s, %(processing_stage)s, %(final_decision)s, %(rejection_reason)s, %(position_size_pct)s, %(position_size_usdt)s, %(leverage_used)s, %(leverage_suggested)s, %(stop_loss_pct)s, %(take_profit_1_pct)s, %(take_profit_2_pct)s, %(take_profit_3_pct)s, %(ml_confidence)s, %(risk_score)s, %(market_regime)s, %(regime_confidence)s, %(pine_health_score)s, %(atr_percentile)s, %(adx_strength)s, %(volume_profile_score)s, %(processing_time_ms)s, %(api_latency_ms)s, %(decision_latency_ms)s, %(trade_id)s, %(alert_history_id)s, %(raw_alert_data)s, %(decision_context)s, %(created_at)s, %(completed_at)s) RETURNING decision_traces.id]
trading-bot-v91  | [parameters: {'trace_id': '29db3fa7-7ac5-4c18-8f88-e490df919573', 'symbol': 'ETHUSDT.P', 'action': 'EMERGENCY_SELL', 'tier': 'Emergency', 'alert_timestamp': datetime.datetime(2025, 8, 31, 22, 45, 2, 511463), 'processing_stage': 'received', 'final_decision': 'PROCESSING', 'rejection_reason': None, 'position_size_pct': None, 'position_size_usdt': None, 'leverage_used': None, 'leverage_suggested': None, 'stop_loss_pct': None, 'take_profit_1_pct': None, 'take_profit_2_pct': None, 'take_profit_3_pct': None, 'ml_confidence': None, 'risk_score': None, 'market_regime': None, 'regime_confidence': None, 'pine_health_score': None, 'atr_percentile': None, 'adx_strength': None, 'volume_profile_score': None, 'processing_time_ms': None, 'api_latency_ms': None, 'decision_latency_ms': None, 'trade_id': None, 'alert_history_id': None, 'raw_alert_data': '{"action": "emergency_sell", "symbol": "ETHUSDT.P", "price": 4439.89, "sl": 4461.292569, "tp1": 4430.298688, "tp2": 4419.597403, "tp3": 4408.896118,  ... (572 characters truncated) ... ": null, "alert_id": null, "idempotency_key": "0f53babb8542f6d2820c9def4017b418", "received_at": "2025-08-31T22:45:02.511379", "latency_metrics": {}}', 'decision_context': '{"bot_mode": null, "paused": false, "emergency_mode": false, "active_positions": 0, "daily_pnl": 0.0, "daily_trades": 0}', 'created_at': datetime.datetime(2025, 8, 31, 22, 45, 2, 512874), 'completed_at': None}]
trading-bot-v91  | (Background on this error at: https://sqlalche.me/e/14/9h9h)
trading-bot-v91  | INFO:__main__:📡 Received signal for ETHUSDT.P - emergency_sell [Trace: None]
trading-bot-v91  | INFO:mode_manager:📉 Weak institutional flow (0.00) - reduced position size
trading-bot-v91  | INFO:mode_manager:📊 Trade parameters for emergency mode: {'leverage': 1, 'position_size_multiplier': 0.2, 'stop_loss_multiplier': 0.5, 'emergency_mode': True, 'risk_percent': 0.25}
trading-bot-v91  | ERROR:__main__:💥 Error handling signal: 'DecisionEngine' object has no attribute 'optimize_parameters'
trading-bot-v91  | Traceback (most recent call last):
trading-bot-v91  |   File "/app/main.py", line 809, in handle_signal
trading-bot-v91  |     optimized_params = await self.decision_engine.optimize_parameters(
trading-bot-v91  |                              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
trading-bot-v91  | AttributeError: 'DecisionEngine' object has no attribute 'optimize_parameters'
trading-bot-v91  | ERROR:webhook:Failed to process alert: DiscordNotifier.send_error_notification() missing 1 required positional argument: 'error_message'
trading-bot-v91  | Traceback (most recent call last):
trading-bot-v91  |   File "/app/main.py", line 809, in handle_signal
trading-bot-v91  |     optimized_params = await self.decision_engine.optimize_parameters(
trading-bot-v91  |                              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
trading-bot-v91  | AttributeError: 'DecisionEngine' object has no attribute 'optimize_parameters'
trading-bot-v91  |
trading-bot-v91  | During handling of the above exception, another exception occurred:
trading-bot-v91  |
trading-bot-v91  | Traceback (most recent call last):
trading-bot-v91  |   File "/app/webhook.py", line 512, in process_alert_async
trading-bot-v91  |     decision = await bot.handle_signal(alert_dict)
trading-bot-v91  |                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
trading-bot-v91  |   File "/app/main.py", line 880, in handle_signal
trading-bot-v91  |     await self.discord.send_error_notification(f"Signal handling error: {e}")
trading-bot-v91  |           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
trading-bot-v91  | TypeError: DiscordNotifier.send_error_notification() missing 1 required positional argument: 'error_message'
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | INFO:     172.21.0.5:36432 - "POST /webhook/tradingview HTTP/1.1" 200 OK
trading-bot-v91  | ERROR:database:Failed to log execution trace: (psycopg2.errors.StringDataRightTruncation) value too long for type character varying(10)
trading-bot-v91  |
trading-bot-v91  | [SQL: INSERT INTO execution_traces (trace_id, symbol, action, stage, timestamp, processing_time_ms, status, message, context_data, trade_id, decision_trace_id, created_at) VALUES (%(trace_id)s, %(symbol)s, %(action)s, %(stage)s, %(timestamp)s, %(processing_time_ms)s, %(status)s, %(message)s, %(context_data)s, %(trade_id)s, %(decision_trace_id)s, %(created_at)s) RETURNING execution_traces.id]
trading-bot-v91  | [parameters: {'trace_id': '0033b8e1-84c6-40f7-8d0d-5d611dbd99ee', 'symbol': 'BNBUSDT.P', 'action': 'emergency_sell', 'stage': 'started', 'timestamp': datetime.datetime(2025, 8, 31, 22, 50, 3, 343994), 'processing_time_ms': 0, 'status': 'running', 'message': 'Started alert_processing', 'context_data': '{"symbol": "BNBUSDT.P", "action": "emergency_sell", "tier": "Emergency", "idempotency_key": "2eadfdd9e8e3c38f70f0f191d8f7f322"}', 'trade_id': None, 'decision_trace_id': None, 'created_at': datetime.datetime(2025, 8, 31, 22, 50, 3, 344003)}]
trading-bot-v91  | (Background on this error at: https://sqlalche.me/e/14/9h9h)
trading-bot-v91  | ERROR:__main__:Error creating diagnostic trace: (psycopg2.errors.StringDataRightTruncation) value too long for type character varying(10)
trading-bot-v91  |
